Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
CommonUtilites/ApplicationUtilites,Success,2,0,2024-05-07 15:07:19 +0530,2024-05-08 10:56:48 +0530,0:00:00
Tests_Cases/TC_End_to_End_Flow,Failure,25,5,2024-05-02 16:45:16 +0530,2024-05-07 10:47:11 +0530,0:00:54
